Company,Fine_Amount,Date,Sector,Type,Country,Authority,Source_URL,PDF_URL
verstanden werden. Der Leser des Verfahrensbriefs wird allein dieses Verständnis vernünftigerweise,,2019-08-28,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgkarl-2019-08-28-6-u-10918-kart,
Priorität der Anlagen D und E zum Nahverkehrsplan. Der eingereichte Fahrplan der Beigeladenen weise,,2019-02-19,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-freiburg-2019-02-19-13-k-741917,
vgl. zu Begriff und gesetzgeberischer Zielsetzung dieser weiten Erfassung sonstiger Abgaben im KAG,,2019-07-16,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2019-07-16-9-s-267918,
dass es selbst an einer wenigstens noch für die Konkursverfahrenskosten ausreichenden Konkursmasse,,2021-09-10,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-freiburg-2021-09-10-9-k-76321,
der jeweils zehntausende Besucherinnen und Besucher aus der gesamten Region angezogen habe. Diese,,2019-03-20,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2019-03-20-6-s-32517,
vor allem der An- und Verkauf des Goldes sowie der Abschluss von Sicherungsgeschäften. Diese,,2020-06-30,Finanzgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/fg-baden-wurttemberg-2020-06-30-5-k-330517,
Jedenfalls der verfassungsrechtliche Schutz der Rente und der Anwartschaft um den Ledigenzuschlag,,2022-02-01,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-02-01-9-s-201120,
HS GemO eine Bringschuld des Bürgermeisters gegenüber jedem einzelnen Gemeinderatsmitglied. Diese,,2020-06-19,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-stuttgart-2020-06-19-7-k-589018,
sei zutreffend. Allerdings sei entgegen der Ansicht des Verwaltungsgerichts der alte Vertrag,,2020-10-06,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2020-10-06-5-s-103918,
BauGB nicht zu laufen begonnen habe. Es lägen bisher auch keine geprüften Standsicherheitsnachweise,,2022-03-23,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-gelsenkirchen-2022-03-23-8-k-119919,
die zur Ermittlung des Bruttoproduktionswerts zur Preisbereinigung der herangezogenen Umsatzerlöse,,2022-03-16,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2022-03-16-3-kart-16919-v,
wenn der Vertrag nicht zustande komme. Überdies hatte der Schwiegersohn durch E-Mail vom Vortrag,,2019-10-04,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgk-2019-10-04-1-u-8318,
keine Differenzierung hinsichtlich der im Blockmodell geführten Altersteilzeitarbeitsverhältnisse,,2019-08-16,Arbeitsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lagham-2019-08-16-18-sa-23219,
regelmäßig nur aufgrund von Indizien getroffen werden. Denn nur die tatsächlich vereinbarten Preise,,2021-08-12,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgce-2021-08-12-13-u-12016-kart,
anderweitig aufgehoben oder durch Zeitablauf oder auf andere Weise erledigt ist. Auf andere Weise,,2020-01-28,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2020-01-28-2-s-47818,
die unter Umständen auch mit Blick auf Verhältnismäßigkeitsaspekte Zugeständnisse bzw. Kompromisse,,2021-08-05,Verwaltungsgerichtsbarkeit,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-sigmaringen-2021-08-05-5-k-300620,
VwGO ergänzend auf die Ausführungen des Verwaltungsgerichts in der angefochtenen Entscheidung Bezug,,2021-05-12,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/ovghh-2021-05-12-1-bf-49219,
Die Telefonistinnen könnten darüber jedoch frei entscheiden und auch höhere oder niedrigere Preise,,2020-09-16,Arbeitsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lagk-2020-09-16-4-sa-70419,
vielmehr ausdrücklich verneint. Nichts anderes kann im vorliegenden Fall eines sich typischerweise,,2022-02-02,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-02-02-12-s-408920,
