enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url,case_name
VTG24-72475,KR,Chi Mei Innolux Display Corporation,electrical and electronic equipment,competition-related offenses,anti-competitive practices,2011.10.28,1387870,Korea Fair Trade Commission,The KFTC fined a group of electronics companies for price-fixing of thin film crystal transistor liquid displays.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=523&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=37793",Chi Mei Innolux Display Corporation - anti-competitive practices
VTG24-72437,KR,NGK Spark Plug,automotive parts,competition-related offenses,anti-competitive practices,2015.3.26,1371232,Korea Fair Trade Commission,The KFTC fined NHGK for fixing prices of engine parts.,https://www.reuters.com/article/southkorea-autos-fine/s-korea-fines-japan-auto-parts-suppliers-denso-ngk-for-price-fixing-idUKL3N0WS07B20150326,NGK Spark Plug - anti-competitive practices
VTG24-72523,KR,MAN Truck & Bus Korea,motor vehicles,safety-related offenses,motor vehicle safety violation,2023.1.10,1367370,"Korea Ministry of Land, Infrastructure and Transport-MOLIT",MOLIT fined a group of major automakers for selling vehicles that did not meet safety standards.,https://koreajoongangdaily.joins.com/2023/01/10/business/industry/Korea-vehicle-fine/20230110174612186.html,MAN Truck & Bus Korea - motor vehicle safety violation
VTG24-78993,KR,Dunlop Sports Korea Co. Ltd.,diversified,competition-related offenses,anti-competitive practices,2025.2.28,1290379,Korea Fair Trade Commission,The Fair Trade Commission fined Dunlop Sports Korea for its resale price maintenance practices and conditional trading practices.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=4&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=45854",Dunlop Sports Korea Co. Ltd. - anti-competitive practices
VTG24-72397,KR,"Hitachi High-Technologies Korea Co., Ltd.",diversified,competition-related offenses,anti-competitive practices,2018.9.14,1285425,Korea Fair Trade Commission,The KFTC fined a group of companies for price fixing of tantalum condensers used in electronics production.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=256&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=40886","Hitachi High-Technologies Korea Co., Ltd. - anti-competitive practices"
VTG24-72436,KR,Denso Corp.,automotive parts,competition-related offenses,anti-competitive practices,2015.3.26,1232568,Korea Fair Trade Commission,The KFTC fined Denso for fixing prices of engine parts.,https://www.reuters.com/article/southkorea-autos-fine/s-korea-fines-japan-auto-parts-suppliers-denso-ngk-for-price-fixing-idUKL3N0WS07B20150326,Denso Corp. - anti-competitive practices
VTG24-72426,KR,Korean Airlines,airlines,competition-related offenses,anti-competitive practices,2016.11.27,1207063,Korea Fair Trade Commission,The KFTC fined Korean Airlines for improper dealings with affiliates.,https://en.yna.co.kr/view/AEN20161126002000320,Korean Airlines - anti-competitive practices
VTG24-72524,KR,Volkswagen Group Korea,motor vehicles,safety-related offenses,motor vehicle safety violation,2023.1.10,1206503,"Korea Ministry of Land, Infrastructure and Transport-MOLIT",MOLIT fined a group of major automakers for selling vehicles that did not meet safety standards.,https://koreajoongangdaily.joins.com/2023/01/10/business/industry/Korea-vehicle-fine/20230110174612186.html,Volkswagen Group Korea - motor vehicle safety violation
VTG24-72410,KR,Mercedes-Benz Korea,motor vehicles,competition-related offenses,anti-competitive practices,2017.9.26,1163981,Korea Fair Trade Commission,The KFTC fined Mercedes for colluding with its dealerships to raise repair and maintenance charges.,https://www.koreatimes.co.kr/www/biz/2023/11/602_237048.html,Mercedes-Benz Korea - anti-competitive practices
VTG24-72439,KR,Korea Gas Corporation,oil and gas,competition-related offenses,anti-competitive practices,2014.12.19,1089480,Korea Fair Trade Commission,The KFTC fined Korea Gas for providing illegal financial assistance to affiliated companies.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=406&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=39135",Korea Gas Corporation - anti-competitive practices
VTG24-81558,KR,Coupang Inc.,retailing,consumer-protection-related offenses,privacy violation,2024.11.27,1072115,Personal Information Protection Commission,Coupang was fined for deficiences in its response to a data leak affecting personal information of delivery workers.,https://www.businesskorea.co.kr/news/articleView.html?idxno=230596,Coupang Inc. - privacy violation
VTG24-76533,KR,Korea Telecom,telecommunications,competition-related offenses,anti-competitive practices,2024.1.25,1069349,Korea Fair Trade Commission,The FTC fined three major telecom operators for colluding to lower the prices they paid to rent locations for their transmission equipment.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=48&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=43260",Korea Telecom - anti-competitive practices
VTG24-72415,KR,"Nissan Motor Car Carrier Co., LTD",motor vehicles,competition-related offenses,anti-competitive practices,2017.8.21,1059640,Korea Fair Trade Commission,The KFTC fined a group of international automobile shipping companies for price fixing and other anti-competitive practices.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=297&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=40398","Nissan Motor Car Carrier Co., LTD - anti-competitive practices"
VTG24-75533,KR,All Nippon Airways,airlines,competition-related offenses,anti-competitive practices,2010.5.28,1057615,Korea Fair Trade Commission,The KFTC fined 19 airlines for conspiring to introduce fuel surcharges and continuing to raise surcharge rates for air cargo to and from Korea between 1999 and 2007.,https://www.ftc.go.kr/viewer/synap/skin/doc.html?fn=BBS_201712310139252480&rs=/viewer/synap/preview/,All Nippon Airways - anti-competitive practices
VTG24-72430,KR,Diageo Korea,beverages,competition-related offenses,anti-competitive practices,2016.5.23,1006560,Korea Fair Trade Commission,The KFTC fined Diageo for making improper deals with bars to get them to limit purchases of rival products.,https://koreajoongangdaily.joins.com/2016/05/23/industry/Diageo-Korea-is-fined-for-paying-off-bar-managers/3019096.html,Diageo Korea - anti-competitive practices
VTG24-79882,KR,Temu,retailing,consumer-protection-related offenses,privacy violation,2025.5.20,994760,Personal Information Protection Commission,"The PIPC's investigation showed that Temu entrusted personal data processing and storage to several businesses located in Korea, China, Singapore, and Japan, for shipping products, but it failed to disclose the entrustment of personal data processing in its privacy policy and notify users. It also failed to properly manage and supervise entrusted entities, such as conducting training on how to securely manage personal data and examining their data processing practices.",https://www.pipc.go.kr/eng/user/ltn/new/noticeDetail.do?bbsId=BBSMSTR_000000000001&nttId=2822,Temu - privacy violation
